Group	Contact name	Contact GitHub ID
(Example: FlyBase)	(Example: Helen Attrill)	(Example: @hattrill)
		
AgBase		
Alzheimers_University_of_Toronto	Barbara Kramarz, Ruth Lovering	@RLovering @BarbaraCzub
ASPGD	Marek Skrzypek	@marekskrzypek
BHF-UCL	Rachael Huntley, Barbara Kramarz, Paul Denny, Ruth Lovering, Nancy Campbell	@rachhuntley @BarbaraCzub @Pauldenny @NancyCampbell @RLovering
CACAO		
CGD	Marek Skrzypek	@marekskrzypek
DFLAT	Donna Slonim	
dictyBase	Petra Fey	@pfey03
dictyBase	Robert Dodson	@rjdodson
EcoCyc		
EcoliWiki		
Ensembl		
EnsemblFungi		
EnsemblPlants		
FlyBase	Helen Attrill	@hattrill
FlyBase	Giulia Antonazzo	@gantonazzo
GDB		
GeneDB	Fatima Silva Franco	@fatimasilva		
GOC		
GO_Central	Pascale Gaudet	@pgaudet
GR		
HGNC	Ruth Lovering	@RLovering
HPA		
IntAct	Birgit Meldal	@bmeldal
InterPro	Amaia Sangrador, Alex Mitchell,  Lorna Richardson, Neil Rawlings, Hsin-Yu Chang	@asangrador @almitchell @happy-lorna @ndrawlings @EBI-Hsinyu
JCVI		
LIFEdb		
MENGO		
MGI	Judy Blake	@jblake
MGI	Karen Christie	@krchristie
MGI	Harold Drabkin	@hdrabkin
MGI	David Hill	@ukemi
MTBBASE		
NTNU_SB		
PAMGO_GAT		
PAMGO_MGG		
ParkinsonsUK-UCL	Barbara Kramarz, Paul Denny, Ruth Lovering, 	@BarbaraCzub @Pauldenny @RLovering
PINC	Pascale Gaudet	@pgaudet
PomBase	ValWood  Midori Harris  Antonia Lock	@valwood,@mah11, @antonialock
PseudoCAP		
Reactome	Peter D'Eustachio	@deustp01
RGD	Stan Laulederkind	@slaulederkind
Roslin_Institute		
SGD	Stacia Engel	@srengel
SYSCILIA_CCNET	Karen Christie	@krchristie
TAIR	Tanya Berardini	@tberardini
TAIR	Leonore Reiser	@lreiser
TIGR		
UniProt		
WormBase	Kimberly Van Auken	@vanaukenk
ZFIN	Sabrina Toro	@sabrinatoro
ZFIN	Doug Howe	@doughowe
