defined_class	xrefs	regulated_activity
http://purl.obolibrary.org/obo/GO_0010521	GOC:dph,GOC:krc,GOC:tb	http://purl.obolibrary.org/obo/GO_0003720
http://purl.obolibrary.org/obo/GO_0060241	GOC:dph	http://purl.obolibrary.org/obo/GO_0003796
http://purl.obolibrary.org/obo/GO_0004857	GOC:ai,GOC:ebc	http://purl.obolibrary.org/obo/GO_0003824
http://purl.obolibrary.org/obo/GO_0005095	GOC:ai	http://purl.obolibrary.org/obo/GO_0003924
http://purl.obolibrary.org/obo/GO_1990119	GOC:rb,PMID:23721653	http://purl.obolibrary.org/obo/GO_0004004
http://purl.obolibrary.org/obo/GO_0010855	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004016
http://purl.obolibrary.org/obo/GO_0004866	GOC:jl	http://purl.obolibrary.org/obo/GO_0004175
http://purl.obolibrary.org/obo/GO_0019828	GOC:ai	http://purl.obolibrary.org/obo/GO_0004190
http://purl.obolibrary.org/obo/GO_0004869	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004197
http://purl.obolibrary.org/obo/GO_0010859	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004198
http://purl.obolibrary.org/obo/GO_0008191	GOC:ai	http://purl.obolibrary.org/obo/GO_0004222
http://purl.obolibrary.org/obo/GO_0004867	GOC:ai	http://purl.obolibrary.org/obo/GO_0004252
http://purl.obolibrary.org/obo/GO_0030251	GOC:mah	http://purl.obolibrary.org/obo/GO_0004383
http://purl.obolibrary.org/obo/GO_0046811	GOC:ai,PMID:10482575	http://purl.obolibrary.org/obo/GO_0004407
http://purl.obolibrary.org/obo/GO_0036487	GOC:BHF,GOC:rl,PMID:17242280	http://purl.obolibrary.org/obo/GO_0004517
http://purl.obolibrary.org/obo/GO_0060698	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004521
http://purl.obolibrary.org/obo/GO_0060703	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004536
http://purl.obolibrary.org/obo/GO_0008428	GOC:ai	http://purl.obolibrary.org/obo/GO_0004540
http://purl.obolibrary.org/obo/GO_0015066	GOC:mah	http://purl.obolibrary.org/obo/GO_0004556
http://purl.obolibrary.org/obo/GO_0090369	GOC:dph,GOC:jp,GOC:tb	http://purl.obolibrary.org/obo/GO_0004585
http://purl.obolibrary.org/obo/GO_0008073	GOC:jl	http://purl.obolibrary.org/obo/GO_0004586
http://purl.obolibrary.org/obo/GO_0036479	GOC:PARL,GOC:bf	http://purl.obolibrary.org/obo/GO_0004601
http://purl.obolibrary.org/obo/GO_0004859	GOC:ai,GOC:rl	http://purl.obolibrary.org/obo/GO_0004620
http://purl.obolibrary.org/obo/GO_0019834	GOC:ai	http://purl.obolibrary.org/obo/GO_0004623
http://purl.obolibrary.org/obo/GO_0060961	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004630
http://purl.obolibrary.org/obo/GO_0090353	GOC:tb	http://purl.obolibrary.org/obo/GO_0004650
http://purl.obolibrary.org/obo/GO_0030291	GOC:mah	http://purl.obolibrary.org/obo/GO_0004674
http://purl.obolibrary.org/obo/GO_0004862	GOC:mah	http://purl.obolibrary.org/obo/GO_0004691
http://purl.obolibrary.org/obo/GO_0004861	GOC:mah,GOC:pr	http://purl.obolibrary.org/obo/GO_0004693
http://purl.obolibrary.org/obo/GO_0008426	GOC:ai	http://purl.obolibrary.org/obo/GO_0004697
http://purl.obolibrary.org/obo/GO_0030292	GOC:mah	http://purl.obolibrary.org/obo/GO_0004713
http://purl.obolibrary.org/obo/GO_0004860	GOC:ai	http://purl.obolibrary.org/obo/GO_0004713
http://purl.obolibrary.org/obo/GO_0030293	GOC:mah	http://purl.obolibrary.org/obo/GO_0004714
http://purl.obolibrary.org/obo/GO_0004864	GOC:ai	http://purl.obolibrary.org/obo/GO_0004721
http://purl.obolibrary.org/obo/GO_0004865	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0004722
http://purl.obolibrary.org/obo/GO_0055105	GOC:BHF,GOC:rl	http://purl.obolibrary.org/obo/GO_0004842
http://purl.obolibrary.org/obo/GO_0030547	GOC:ceb	http://purl.obolibrary.org/obo/GO_0004872
http://purl.obolibrary.org/obo/GO_0008200	GOC:mah	http://purl.obolibrary.org/obo/GO_0005216
http://purl.obolibrary.org/obo/GO_0070320	GOC:mah	http://purl.obolibrary.org/obo/GO_0005242
http://purl.obolibrary.org/obo/GO_0019869	GOC:mah	http://purl.obolibrary.org/obo/GO_0005254
http://purl.obolibrary.org/obo/GO_0019855	GOC:mah	http://purl.obolibrary.org/obo/GO_0005262
http://purl.obolibrary.org/obo/GO_0019870	GOC:mah	http://purl.obolibrary.org/obo/GO_0005267
http://purl.obolibrary.org/obo/GO_0019871	GOC:mah	http://purl.obolibrary.org/obo/GO_0005272
http://purl.obolibrary.org/obo/GO_0030414	GOC:jl	http://purl.obolibrary.org/obo/GO_0008233
http://purl.obolibrary.org/obo/GO_0060422	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0008241
http://purl.obolibrary.org/obo/GO_0010852	GOC:dph,GOC:tb	http://purl.obolibrary.org/obo/GO_0009975
http://purl.obolibrary.org/obo/GO_0008427	GOC:mah	http://purl.obolibrary.org/obo/GO_0010857
http://purl.obolibrary.org/obo/GO_0016248	GOC:mah	http://purl.obolibrary.org/obo/GO_0015267
http://purl.obolibrary.org/obo/GO_0030550	GOC:mah	http://purl.obolibrary.org/obo/GO_0015464
http://purl.obolibrary.org/obo/GO_0055102	GOC:BHF,GOC:rl	http://purl.obolibrary.org/obo/GO_0016298
http://purl.obolibrary.org/obo/GO_0019210	GOC:mah	http://purl.obolibrary.org/obo/GO_0016301
http://purl.obolibrary.org/obo/GO_0019212	GOC:ai	http://purl.obolibrary.org/obo/GO_0016791
http://purl.obolibrary.org/obo/GO_0055104	GOC:BHF,GOC:rl	http://purl.obolibrary.org/obo/GO_0016874
http://purl.obolibrary.org/obo/GO_0042030	GOC:jl	http://purl.obolibrary.org/obo/GO_0016887
http://purl.obolibrary.org/obo/GO_0046910	GOC:ai,PMID:10880981	http://purl.obolibrary.org/obo/GO_0030599
http://purl.obolibrary.org/obo/GO_1990846	PMID:16317005	http://purl.obolibrary.org/obo/GO_0061731
http://purl.obolibrary.org/obo/GO_0097690	GOC:BHF,GOC:kom,PMID:15514116	http://purl.obolibrary.org/obo/GO_0097689
